Renner,Prijs
Tadej Pogačar,1200
Jonas Vingegaard,1200
Remco Evenepoel,1200
João Almeida,1200
Primož Roglič,1200
Juan Ayuso Pesquera,1200
Jonathan Milan,1200
Mads Pedersen,1200
Isaac Del Toro,1200
Matteo Jorgenson,1200
Jasper Philipsen,1000
Florian Lipowitz,1000
Antonio Tiberi,1000
Wout van Aert,1000
Kévin Vauquelin,1000
Biniam Girmay,1000
Oscar Onley,1000
Thomas Pidcock,1000
Tim Merlier,1000
Carlos Rodríguez,1000
Mathieu van der Poel,1000
Mattias Skjelmose Jensen,1000
Olav Kooij,1000
Ben O'Connor,1000
Richard Carapaz,1000
Giulio Ciccone,800
Brandon McNulty,800
Enric Mas Nicolau,800
Romain Grégoire,800
Felix Gall,800
Kaden Groves,800
Adam Yates,800
Arnaud De Lie,800
Jay Vine,800
Mikel Landa Meana,800
Lenny Martinez,800
Thymen Arensman,800
Ben Healy,800
Santiago Buitrago,800
Derek Gee-West,800
Egan Bernal,800
Paul Magnier,800
Aleksandr Vlasov,800
Giulio Pellizzari,800
Lorenzo Fortunato,800
Pavel Bittner,800
Simon Yates,800
Matthew Riccitello,800
Alex Aranburu,800
Tobias Lund Andresen,800
Michael Storer,600
Julian Alaphilippe,600
Søren Wærenskjold,600
Ethan Vernon,600
Mathias Vacek,600
Jordi Meeus,600
Dylan Groenewegen,600
Jai Hindley,600
Filippo Ganna,600
Matthew Brennan,600
Pablo Castrillo,600
Marc Soler,600
Harold Tejada,600
Jonas Abrahamsen,600
Max Poole,600
Bryan Coquard,600
Luke Plapp,600
Jhonatan Narváez,600
Phil Bauhaus,600
Magnus Sheffield,600
Pello Bilbao Lopez de Armentia,600
Cristian Scaroni,600
Mauro Schmid,600
Corbin Strong,600
Tobias Halland Johannessen,600
Alexander Kristoff,600
Romain Bardet,600
Tim Wellens,600
David Gaudu,600
Dorian Godon,600
Jan Christen,600
Diego Ulissi,600
Lennert Van Eetvelt,600
Iván Romeo,600
Marc Hirschi,600
Andrea Vendrame,600
Emilien Jeannière,600
Paul Penhoët,600
Sam Bennett,600
Giovanni Lonardi,600
Ilan Van Wilder,600
Danny Van Poppel,600
Stefan Küng,600
Daniel Felipe Martínez,600
Thibau Nys,600
Orluis Aular,600
Samuel Watson,600
Marijn van den Berg,600
Axel Laurance,600
Juan Sebastian Molano Benavides,600
Milan Fretin,400
Pascal Ackermann,400
Wilco Kelderman,400
Maxim Van Gils,400
Bruno Armirail,400
Sepp Kuss,400
Finn Fisher-Black,400
Valentin Paret-Peintre,400
Anthony Turgis,400
Michael Matthews,400
Maximilian Schachmann,400
Ben Turner,400
Joshua Tarling,400
Axel Zingle,400
Jordan Jegat,400
Magnus Cort,400
Matteo Malucelli,400
Paul Lapeira,400
Laurence Pithie,400
Cian Uijtdebroeks,400
Alberto Dainese,400
Davide Piganzoli,400
Fernando Gaviria Rendon,400
Clément Champoussin,400
Paul Seixas,400
Casper van Uden,400
Edoardo Zambanini,400
Matteo Trentin,400
Filippo Zana,400
William Junior Lecerf,400
Pavel Sivakov,400
Einer Augusto Rubio,400
Stanisław Aniołkowski,400
Aurélien Paret-Peintre,400
Max Kanter,400
Ethan Hayter,400
Fabio Christen,400
Roger Adrià,400
Alberto Bettiol,400
Victor Campenaerts,400
Simone Velasco,400
Alfred Wright,400
Eddie Dunbar,400
Neilson Powless,400
Gerben Thijssen,400
Damiano Caruso,400
Madis Mihkels,400
Frank van den Broek,400
Arnaud Démare,400
Lukáš Kubiš,400
Quinten Hermans,400
Tibor Del Grosso,400
Laurens De Plus,400
Geraint Thomas,400
Christophe Laporte,400
Alex Baudin,400
Cristián Rodríguez,400
Quinn Simmons,400
Guillaume Martin,400
Javier Romo Oliver,400
Tim Torn Teutenberg,400
Maikel Zijlaard,400
Felix Grossschartner,400
Alec Segaert,400
Jake Stewart,400
Enrico Zanoncello,400
Torstein Træen,400
Toms Skujins,400
Nicolas Prodhomme,400
Davide Ballerini,400
Pau Miquel,400
Sam Welsford,400
Stefan Bissegger,400
Matteo Moschetti,400
Guillermo Thomas Silva,400
Wout Poels,400
Clément Venturini,400
Mike Teunissen,400
Milan Menten,400
Henok Mulubrhan,400
Chris Harper,400
Arne Marit,400
Jenno Berckmoes,400
Alexandre Delettre,400
Marco Frigo,400
Jasper Stuyven,400
Aaron Gate,400
Ben Tulett,400
Valentin Madouas,400
Tiesj Benoot,400
Arvid De Kleijn,400
Paul Double,400
Louis Barré,400
Anders Foldager,400
António Morgado,400
Erlend Blikra,400
Raúl García Pierna,400
Matyáš Kopecký,400
Edoardo Affini,400
Marco Brenner,400
Thibaud Gruel,200
Matej Mohoric,200
Filippo Fiorelli,200
Ivo Oliveira,200
Hugo Hofstetter,200
Harold Martín López,200
Archie Ryan,200
Bastien Tronchon,200
Rick Pluimers,200
Matevž Govekar,200
